current_epoch,passes_total
464,462064
464,462249
464,462626
465,462976
465,463308
465,463483
466,463780
466,464146
466,464336
467,464701
467,465053
467,465368
467,465537
468,465868
468,466176
468,466357
469,466675
469,467031
469,467375
469,467561
470,467916
470,468186
470,468408
471,468766
471,469129
471,469393
471,469627
472,469974
472,470151
472,470488
473,470747
473,471068
473,471252
473,471616
474,471947
474,472192
474,472327
475,472634
475,472936
475,473237
475,473383
476,473716
476,474001
476,474159
476,474461
477,474735
477,475062
477,475346
477,475521
478,475770
478,476044
478,476206
478,476502
479,476762
479,477032
479,477182
479,477470
480,477752
480,478017
480,478176
480,478381
481,478681
481,478974
481,479101
481,479376
482,479666
482,479999
482,480150
482,480408
483,480652
483,480962
483,481136
483,481436
484,481736
484,482046
484,482187
484,482567
485,482925
485,483326
485,483528
486,483920
486,484269
486,484485
487,484878
487,485139
487,485472
488,485856
488,486200
488,486432
489,486749
489,487007
489,487212
489,487548
490,487916
490,488287
490,488476
491,488855
491,489188
491,489373
492,489723
492,490091
492,490292
493,490674
493,490998
493,491189
493,491577
494,491952
494,492336
494,492526
495,492856
495,493233
495,493429
496,493810
496,494136
496,494381
497,494735
497,495113
497,495487
498,495688
498,496055
498,496135
498,496506
499,496868
499,497241
499,497479
500,497818
500,498163
500,498364
501,498747
501,499135
501,499336
502,499686
502,500045
502,500264
503,500647
503,501033
503,501380
503,501587
504,501966
504,502227
504,502551
505,502912
505,503244
505,503431
506,503811
506,504207
506,504417
507,504772
507,505166
507,505366
508,505632
508,506025
508,506396
508,506564
509,506942
509,507304
509,507537
510,507898
510,508163
510,508427
511,508810
511,509196
511,509524
512,509765
512,510020
512,510286
513,510652
513,511020
513,511205
513,511554
514,511869
514,512193
514,512481
515,512725
515,513074
515,513375
515,513571
516,513947
516,514238
516,514483
517,514714
517,515040
517,515371
518,515614
518,515976
518,516253
518,516508
519,516882
519,517097
519,517436
520,517803
520,518104
520,518370
521,518626
521,519003
521,519197
521,519504
522,519878
522,520235
522,520440
523,520770
523,521097
523,521257
523,521570
524,521930
524,522253
524,522458
525,522719
525,523064
525,523238
525,523504
526,523831
526,524164
526,524349
527,524686
527,525016
527,525205
528,525580
528,525952
528,526323
528,526511
529,526830
529,527188
529,527363
530,527716
530,527950
530,528162
530,528513
531,528887
531,529255
531,529430
532,529746
532,530034
532,530267
533,530625
533,530955
533,531247
533,531465
534,531831
534,532054
534,532247
534,532544
535,532882
535,533082
535,533409
536,533688
536,534032
536,534217
536,534503
537,534847
537,535176
537,535328
538,535668
538,536001
538,536160
538,536449
539,536772
539,537107
539,537293
540,537609
540,537937
540,538097
540,538458
541,538818
541,539162
541,539299
542,539616
542,539978
542,540173
542,540528
543,540755
543,541099
543,541289
544,541654
544,542015
544,542354
544,542498
545,542866
545,543194
545,543434
546,543803
546,543989
546,544326
547,544684
547,545047
547,545292
548,545594
548,545917
548,546105
548,546470
549,546835
549,547212
549,547387
550,547738
550,548113
550,548302
551,548667
551,548991
551,549178
551,549529
552,549776
552,550104
552,550279
553,550612
553,550948
553,551295
553,551487
554,551808
554,552119
554,552348
555,552695
555,552982
555,553228
555,553422
556,553706
556,553976
556,554118
556,554298
557,554560
557,554815
557,555008
557,555195
557,555457
558,555727
558,555913
558,556140
558,556414
559,556702
559,556852
559,557087
559,557270
559,557536
560,557824
560,557960
560,558203
560,558468
561,558765
561,559016
561,559181
561,559418
562,559707
562,559987
562,560143
562,560467
563,560846
563,561057
563,561429
564,561768
564,562160
564,562365
565,562724
565,563100
565,563254
566,563622
566,563990
566,564180
566,564500
567,564787
567,565099
567,565285
567,565522
568,565890
568,566212
568,566390
569,566723
569,567054
569,567208
570,567544
570,567894
570,568111
570,568437
571,568769
571,569145
571,569411
572,569724
572,570071
572,570199
573,570559
573,570913
573,571089
573,571421
574,571708
574,572025
574,572217
575,572557
575,572857
575,573180
575,573345
576,573693
576,574009
576,574099
576,574406
577,574744
577,575075
577,575235
577,575506
578,575760
578,576034
578,576157
578,576405
579,576619
579,576868
579,577020
579,577248
579,577506
580,577753
580,577943
580,578173
580,578460
581,578764
581,578996
581,579311
582,579682
582,580053
582,580274
583,580560
583,580902
583,581109
583,581476
584,581837
584,582061
584,582240
585,582579
585,582885
585,583018
585,583327
586,583683
586,584052
586,584296
587,584527
587,584890
587,585101
587,585401
588,585765
588,586128
588,586384
589,586669
589,587000
589,587236
590,587541
590,587911
590,588109
590,588434
591,588793
591,589159
591,589337
592,589678
592,590015
592,590153
592,590495
593,590748
593,591097
593,591249
594,591617
594,591978
594,592216
594,592487
595,592828
595,593110
595,593288
596,593617
596,593949
596,594252
596,594432
597,594757
597,595043
597,595271
598,595546
598,595779
598,596015
598,596135
598,596331
599,596570
599,596818
599,596941
599,597196
599,597411
600,597655
600,597779
600,598026
600,598189
600,598423
601,598661
601,598808
601,599010
601,599194
601,599446
602,599700
602,599956
602,600103
602,600317
603,600574
603,600795
603,600951
603,601180
603,601434
604,601687
604,601943
604,602085
604,602333
605,602607
605,602885
605,603016
605,603237
605,603463
606,603717
606,603872
606,604118
606,604348
607,604569
607,604733
607,604883
607,605096
607,605349
608,605549
608,605803
608,605945
608,606160
608,606416
609,606621
609,606859
609,606993
609,607226
609,607478
610,607696
610,607864
610,608066
610,608303
611,608541
611,608770
611,608927
611,609150
611,609393
612,609679
612,609875
612,610109
612,610384
613,610725
613,610926
613,611180
613,611365
614,611613
614,611943
614,612138
614,612405
615,612776
615,613029
615,613255
616,613582
616,613959
616,614140
617,614508
617,614871
617,615239
617,615393
618,615761
618,616120
618,616306
619,616668
619,617000
619,617286
619,617446
620,617686
620,617905
620,618041
620,618307
621,618637
621,618887
621,618998
621,619277
621,619473
622,619742
622,619989
622,620081
622,620358
623,620632
623,620892
623,621041
623,621296
624,621563
624,621802
624,621944
624,622191
624,622406
625,622655
625,622833
625,623014
625,623218
625,623448
626,623672
626,623919
626,624039
626,624262
627,624503
627,624728
627,624854
627,625084
627,625294
628,625531
628,625745
628,625792
628,626012
628,626247
629,626488
629,626707
629,626871
629,627099
629,627385
630,627670
630,627906
630,628185
631,628499
631,628806
631,628998
631,629246
632,629474
632,629640
632,629800
632,629908
632,630147
632,630427
633,630712
633,630994
633,631094
633,631383
634,631679
634,631980
634,632205
634,632410
635,632679
635,632745
635,633025
635,633310
636,633572
636,633828
636,634009
636,634170
636,634386
637,634595
637,634822
637,634931
637,635155
637,635355
638,635592
638,635824
638,635935
638,636098
638,636286
639,636503
639,636696
639,636860
639,637000
639,637192
639,637386
640,637576
640,637747
640,637854
640,638049
640,638281
641,638517
641,638652
641,638777
641,639016
641,639233
642,639462
642,639676
642,639853
642,640022
642,640244
642,640443
643,640655
643,640870
643,640972
643,641184
643,641375
644,641575
644,641783
644,641889
644,642091
644,642287
645,642572
645,642854
645,643025
645,643237
646,643506
646,643795
646,644010
646,644205
647,644493
647,644786
647,644872
647,645138
647,645414
648,645708
648,645974
648,646150
648,646442
649,646703
649,646991
649,647131
649,647372
650,647595
650,647832
650,647944
650,648228
651,648454
651,648751
651,648909
651,649203
652,649501
652,649761
652,649911
652,650181
653,650472
653,650746
653,650855
653,651137
653,651417
654,651689
654,651837
